Customer ID,Customer Country
10001,Country B
10002,Country B
10003,Country B
10004,Country B
10005,Country B
10006,Country B
10007,Country B
10008,Country B
10009,Country B
10010,Country B
10011,Country B
10012,Country B
10013,Country B
10014,Country B
10015,Country B
10016,Country B
10017,Country B
10018,Country B
10019,Country B
10020,Country B
10021,Country B
10022,Country B
10023,Country B
10024,Country B
10025,Country B
10026,Country B
10027,Country B
10028,Country B
10029,Country B
10030,Country B
10031,Country B
10032,Country B
10033,Country B
10034,Country B
10035,Country B
10036,Country B
10037,Country B
10038,Country B
10039,Country B
10040,Country B
10041,Country B
10042,Country B
10043,Country B
10044,Country B
10045,Country B
10046,Country B
10047,Country B
10048,Country B
10049,Country B
10050,Country B
10051,Country B
10052,Country B
10053,Country B
10054,Country B
10055,Country B
10056,Country B
10057,Country B
10058,Country B
10059,Country B
10060,Country B
10061,Country B
10062,Country B
10063,Country B
10064,Country B
10065,Country B
10066,Country B
10067,Country B
10068,Country B
10069,Country B
10070,Country B
10071,Country B
10072,Country B
10073,Country B
10074,Country B
10075,Country B
10076,Country B
10077,Country B
10078,Country B
10079,Country B
10080,Country B
10081,Country B
10082,Country B
10083,Country B
10084,Country B
10085,Country B
10086,Country B
10087,Country B
10088,Country B
10089,Country B
10090,Country B
10091,Country B
10092,Country B
10093,Country B
10094,Country B
10095,Country B
10096,Country B
10097,Country B
10098,Country B
10099,Country B
10100,Country B
10101,Country B
10102,Country B
10103,Country B
10104,Country B
10105,Country B
10106,Country B
10107,Country B
10108,Country B
10109,Country B
10110,Country B
10111,Country B
10112,Country B
10113,Country B
10114,Country B
10115,Country B
10116,Country B
10117,Country B
10118,Country B
10119,Country B
10120,Country B
10121,Country B
10122,Country B
10123,Country B
10124,Country B
10125,Country B
10126,Country B
10127,Country B
10128,Country B
10129,Country B
10130,Country B
10131,Country B
10132,Country B
10133,Country B
10134,Country B
10135,Country B
10136,Country B
10137,Country B
10138,Country B
10139,Country B
10140,Country B
10141,Country B
10142,Country B
10143,Country B
10144,Country B
10145,Country B
10146,Country B
10147,Country B
10148,Country B
10149,Country B
10150,Country B
10151,Country B
10152,Country B
10153,Country B
10154,Country B
10155,Country B
10156,Country B
10157,Country B
10158,Country B
10159,Country B
10160,Country B
10161,Country B
10162,Country B
10163,Country B
10164,Country B
10165,Country B
10166,Country B
10167,Country B
10168,Country B
10169,Country B
10170,Country B
10171,Country B
10172,Country B
10173,Country B
10174,Country B
10175,Country B
10176,Country B
10177,Country B
10178,Country B
10179,Country B
10180,Country B
10181,Country B
10182,Country B
10183,Country B
10184,Country B
10185,Country B
10186,Country B
10187,Country B
10188,Country B
10189,Country B
10190,Country B
10191,Country B
10192,Country B
10193,Country B
10194,Country B
10195,Country B
10196,Country B
10197,Country B
10198,Country B
10199,Country B
10200,Country B
10201,Country B
10202,Country B
10203,Country B
10204,Country B
10205,Country B
10206,Country B
10207,Country B
10208,Country B
10209,Country B
10210,Country B
10211,Country B
10212,Country B
10213,Country B
10214,Country B
10215,Country B
10216,Country B
10217,Country B
10218,Country B
10219,Country B
10220,Country B
10221,Country B
10222,Country B
10223,Country B
10224,Country B
10225,Country B
10226,Country B
10227,Country B
10228,Country B
10229,Country B
10230,Country B
10231,Country B
10232,Country B
10233,Country B
10234,Country B
10235,Country B
10236,Country B
10237,Country B
10238,Country B
10239,Country B
10240,Country B
10241,Country B
10242,Country B
10243,Country B
10244,Country B
10245,Country B
10246,Country B
10247,Country B
10248,Country B
10249,Country B
10250,Country B
10251,Country B
10252,Country B
10253,Country B
10254,Country B
10255,Country B
10256,Country B
10257,Country B
10258,Country B
10259,Country B
10260,Country B
10261,Country B
10262,Country B
10263,Country B
10264,Country B
10265,Country B
10266,Country B
10267,Country B
10268,Country B
10269,Country B
10270,Country B
10271,Country B
10272,Country B
10273,Country B
10274,Country B
10275,Country B
10276,Country B
10277,Country B
10278,Country B
10279,Country B
10280,Country B
10281,Country B
10282,Country B
10283,Country B
10284,Country B
10285,Country B
10286,Country B
10287,Country B
10288,Country B
10289,Country B
10290,Country B
10291,Country B
10292,Country B
10293,Country B
10294,Country B
10295,Country B
10296,Country B
10297,Country B
10298,Country B
10299,Country B
10300,Country B
10301,Country A
10302,Country A
10303,Country A
10304,Country A
10305,Country A
10306,Country A
10307,Country A
10308,Country A
10309,Country A
10310,Country A
10311,Country A
10312,Country A
10313,Country A
10314,Country A
10315,Country A
10316,Country A
10317,Country A
10318,Country A
10319,Country A
10320,Country A
10321,Country A
10322,Country A
10323,Country A
10324,Country A
10325,Country A
10326,Country A
10327,Country A
10328,Country A
10329,Country A
10330,Country A
10331,Country A
10332,Country A
10333,Country A
10334,Country A
10335,Country A
10336,Country A
10337,Country A
10338,Country A
10339,Country A
10340,Country A
10341,Country A
10342,Country A
10343,Country A
10344,Country A
10345,Country A
10346,Country A
10347,Country A
10348,Country A
10349,Country A
10350,Country A
10351,Country A
10352,Country A
10353,Country A
10354,Country A
10355,Country A
10356,Country A
10357,Country A
10358,Country A
10359,Country A
10360,Country A
10361,Country A
10362,Country A
10363,Country A
10364,Country A
10365,Country A
10366,Country A
10367,Country A
10368,Country A
10369,Country A
10370,Country A
10371,Country A
10372,Country A
10373,Country A
10374,Country A
10375,Country A
10376,Country A
10377,Country A
10378,Country A
10379,Country A
10380,Country A
10381,Country A
10382,Country A
10383,Country A
10384,Country A
10385,Country A
10386,Country A
10387,Country A
10388,Country A
10389,Country A
10390,Country A
10391,Country A
10392,Country A
10393,Country A
10394,Country A
10395,Country A
10396,Country A
10397,Country A
10398,Country A
10399,Country A
10400,Country A
10401,Country A
10402,Country A
10403,Country A
10404,Country A
10405,Country A
10406,Country A
10407,Country A
10408,Country A
10409,Country A
10410,Country A
10411,Country A
10412,Country A
10413,Country A
10414,Country A
10415,Country A
10416,Country A
10417,Country A
10418,Country A
10419,Country A
10420,Country A
10421,Country A
10422,Country A
10423,Country A
10424,Country A
10425,Country A
10426,Country A
10427,Country A
10428,Country A
10429,Country A
10430,Country A
10431,Country A
10432,Country A
10433,Country A
10434,Country A
10435,Country A
10436,Country A
10437,Country A
10438,Country A
10439,Country A
10440,Country A
10441,Country A
10442,Country A
10443,Country A
10444,Country A
10445,Country A
10446,Country A
10447,Country A
10448,Country A
10449,Country A
10450,Country A
10451,Country A
10452,Country A
10453,Country A
10454,Country A
10455,Country A
10456,Country A
10457,Country A
10458,Country A
10459,Country A
10460,Country A
10461,Country A
10462,Country A
10463,Country A
10464,Country A
10465,Country A
10466,Country A
10467,Country A
10468,Country A
10469,Country A
10470,Country A
10471,Country A
10472,Country A
10473,Country A
10474,Country A
10475,Country A
10476,Country A
10477,Country A
10478,Country A
10479,Country A
10480,Country A
10481,Country A
10482,Country A
10483,Country A
10484,Country A
10485,Country A
10486,Country A
10487,Country A
10488,Country A
10489,Country A
10490,Country A
10491,Country A
10492,Country A
10493,Country A
10494,Country A
10495,Country A
10496,Country A
10497,Country A
10498,Country A
10499,Country A
10500,Country A
10501,Country A
10502,Country A
10503,Country A
10504,Country A
10505,Country A
10506,Country A
10507,Country A
10508,Country A
10509,Country A
10510,Country A
10511,Country A
10512,Country A
10513,Country A
10514,Country A
10515,Country A
10516,Country A
10517,Country A
10518,Country A
10519,Country A
10520,Country A
10521,Country A
10522,Country A
10523,Country A
10524,Country A
10525,Country A
10526,Country A
10527,Country A
10528,Country A
10529,Country A
10530,Country A
10531,Country A
10532,Country A
10533,Country A
10534,Country A
10535,Country A
10536,Country A
10537,Country A
10538,Country A
10539,Country A
10540,Country A
10541,Country A
10542,Country A
10543,Country A
10544,Country A
10545,Country A
10546,Country A
10547,Country A
10548,Country A
10549,Country A
10550,Country A
10551,Country A
10552,Country A
10553,Country A
10554,Country A
10555,Country A
10556,Country A
10557,Country A
10558,Country A
10559,Country A
10560,Country A
10561,Country A
10562,Country A
10563,Country A
10564,Country A
10565,Country A
10566,Country A
10567,Country A
10568,Country A
10569,Country A
10570,Country A
10571,Country A
10572,Country A
10573,Country A
10574,Country A
10575,Country A
10576,Country A
10577,Country A
10578,Country A
10579,Country A
10580,Country A
10581,Country A
10582,Country A
10583,Country A
10584,Country A
10585,Country A
10586,Country A
10587,Country A
10588,Country A
10589,Country A
10590,Country A
10591,Country A
10592,Country A
10593,Country A
10594,Country A
10595,Country A
10596,Country A
10597,Country A
10598,Country A
10599,Country A
10600,Country A
10601,Country A
10602,Country A
10603,Country A
10604,Country A
10605,Country A
10606,Country A
10607,Country A
10608,Country A
10609,Country A
10610,Country A
10611,Country A
10612,Country A
10613,Country A
10614,Country A
10615,Country A
10616,Country A
10617,Country A
10618,Country A
10619,Country A
10620,Country A
10621,Country A
10622,Country A
10623,Country A
10624,Country A
10625,Country A
10626,Country A
10627,Country A
10628,Country A
10629,Country A
10630,Country A
10631,Country A
10632,Country A
10633,Country A
10634,Country A
10635,Country A
10636,Country A
10637,Country A
10638,Country A
10639,Country A
10640,Country A
10641,Country A
10642,Country A
10643,Country A
10644,Country A
10645,Country A
10646,Country A
10647,Country A
10648,Country A
10649,Country A
10650,Country A
10651,Country A
10652,Country A
10653,Country A
10654,Country A
10655,Country A
10656,Country A
10657,Country A
10658,Country A
10659,Country A
10660,Country A
10661,Country A
10662,Country A
10663,Country A
10664,Country A
10665,Country A
10666,Country A
10667,Country A
10668,Country A
10669,Country A
10670,Country A
10671,Country A
10672,Country A
10673,Country A
10674,Country A
10675,Country A
10676,Country A
10677,Country A
10678,Country A
10679,Country A
10680,Country A
10681,Country A
10682,Country A
10683,Country A
10684,Country A
10685,Country A
10686,Country A
10687,Country A
10688,Country A
10689,Country A
10690,Country A
10691,Country A
10692,Country A
10693,Country A
10694,Country A
10695,Country A
10696,Country A
10697,Country A
10698,Country A
10699,Country A
10700,Country A
10701,Country B
10702,Country B
10703,Country B
10704,Country B
10705,Country B
10706,Country B
10707,Country B
10708,Country B
10709,Country B
10710,Country B
10711,Country B
10712,Country B
10713,Country B
10714,Country B
10715,Country B
10716,Country B
10717,Country B
10718,Country B
10719,Country B
10720,Country B
10721,Country B
10722,Country B
10723,Country B
10724,Country B
10725,Country B
10726,Country B
10727,Country B
10728,Country B
10729,Country B
10730,Country B
10731,Country B
10732,Country B
10733,Country B
10734,Country B
10735,Country B
10736,Country B
10737,Country B
10738,Country B
10739,Country B
10740,Country B
10741,Country B
10742,Country B
10743,Country B
10744,Country B
10745,Country B
10746,Country B
10747,Country B
10748,Country B
10749,Country B
10750,Country B
10751,Country B
10752,Country B
10753,Country B
10754,Country B
10755,Country B
10756,Country B
10757,Country B
10758,Country B
10759,Country B
10760,Country B
10761,Country B
10762,Country B
10763,Country B
10764,Country B
10765,Country B
10766,Country B
10767,Country B
10768,Country B
10769,Country B
10770,Country B
10771,Country B
10772,Country B
10773,Country B
10774,Country B
10775,Country B
10776,Country B
10777,Country B
10778,Country B
10779,Country B
10780,Country B
10781,Country B
10782,Country B
10783,Country B
10784,Country B
10785,Country B
10786,Country B
10787,Country B
10788,Country B
10789,Country B
10790,Country B
10791,Country B
10792,Country B
10793,Country B
10794,Country B
10795,Country B
10796,Country B
10797,Country B
10798,Country B
10799,Country B
10800,Country B
10801,Country B
10802,Country B
10803,Country B
10804,Country B
10805,Country B
10806,Country B
10807,Country B
10808,Country B
10809,Country B
10810,Country B
10811,Country B
10812,Country B
10813,Country B
10814,Country B
10815,Country B
10816,Country B
10817,Country B
10818,Country B
10819,Country B
10820,Country B
10821,Country B
10822,Country B
10823,Country B
10824,Country B
10825,Country B
10826,Country B
10827,Country B
10828,Country B
10829,Country B
10830,Country B
10831,Country B
10832,Country B
10833,Country B
10834,Country B
10835,Country B
10836,Country B
10837,Country B
10838,Country B
10839,Country B
10840,Country B
10841,Country B
10842,Country B
10843,Country B
10844,Country B
10845,Country B
10846,Country B
10847,Country B
10848,Country B
10849,Country B
10850,Country B
10851,Country B
10852,Country B
10853,Country B
10854,Country B
10855,Country B
10856,Country B
10857,Country B
10858,Country B
10859,Country B
10860,Country B
10861,Country B
10862,Country B
10863,Country B
10864,Country B
10865,Country B
10866,Country B
10867,Country B
10868,Country B
10869,Country B
10870,Country B
10871,Country B
10872,Country B
10873,Country B
10874,Country B
10875,Country B
10876,Country B
10877,Country B
10878,Country B
10879,Country B
10880,Country B
10881,Country B
10882,Country B
10883,Country B
10884,Country B
10885,Country B
10886,Country B
10887,Country B
10888,Country B
10889,Country B
10890,Country B
10891,Country B
10892,Country B
10893,Country B
10894,Country B
10895,Country B
10896,Country B
10897,Country B
10898,Country B
10899,Country B
10900,Country B
10901,Country B
10902,Country B
10903,Country B
10904,Country B
10905,Country B
10906,Country B
10907,Country B
10908,Country B
10909,Country B
10910,Country B
10911,Country B
10912,Country B
10913,Country B
10914,Country B
10915,Country B
10916,Country B
10917,Country B
10918,Country B
10919,Country B
10920,Country B
10921,Country B
10922,Country B
10923,Country B
10924,Country B
10925,Country B
10926,Country B
10927,Country B
10928,Country B
10929,Country B
10930,Country B
10931,Country B
10932,Country B
10933,Country B
10934,Country B
10935,Country B
10936,Country B
10937,Country B
10938,Country B
10939,Country B
10940,Country B
10941,Country B
10942,Country B
10943,Country B
10944,Country B
10945,Country B
10946,Country B
10947,Country B
10948,Country B
10949,Country B
10950,Country B
10951,Country B
10952,Country B
10953,Country B
10954,Country B
10955,Country B
10956,Country B
10957,Country B
10958,Country B
10959,Country B
10960,Country B
10961,Country B
10962,Country B
10963,Country B
10964,Country B
10965,Country B
10966,Country B
10967,Country B
10968,Country B
10969,Country B
10970,Country B
10971,Country B
10972,Country B
10973,Country B
10974,Country B
10975,Country B
10976,Country B
10977,Country B
10978,Country B
10979,Country B
10980,Country B
10981,Country B
10982,Country B
10983,Country B
10984,Country B
10985,Country B
10986,Country B
10987,Country B
10988,Country B
10989,Country B
10990,Country B
10991,Country B
10992,Country B
10993,Country B
10994,Country B
10995,Country B
10996,Country B
10997,Country B
10998,Country B
10999,Country B
11000,Country B